date,high,low,Close Price,trade, turnover_in_lakhs,contracts,difference
01-Jan-2021,1443.0,1420.6,1425.05,4405469,63155.334220000004,24302,22.40000000000009
04-Jan-2021,1438.0,1399.0,1416.0,7870096,111534.7328,40233,39.0
05-Jan-2021,1430.75,1409.0,1426.7,7193412,102141.606,49022,21.75
06-Jan-2021,1440.0,1413.1,1420.55,11067025,157545.1101,62408,26.90000000000009
07-Jan-2021,1432.6,1412.55,1416.25,9947421,141486.2331,47083,20.049999999999955
08-Jan-2021,1442.0,1423.1,1431.65,6884382,98639.9739,59221,18.90000000000009
11-Jan-2021,1464.9,1436.3,1451.45,8665696,125894.8203,94720,28.600000000000136
12-Jan-2021,1487.7,1449.1,1481.0,10194078,149795.636,95861,38.600000000000136
13-Jan-2021,1496.9,1462.1,1470.65,8467325,124991.9728,72902,34.80000000000018
14-Jan-2021,1488.0,1456.0,1468.75,6148583,90310.62462,52495,32.0
15-Jan-2021,1471.65,1445.0,1466.65,7082618,103275.07400000001,81747,26.65000000000009
18-Jan-2021,1502.85,1467.0,1483.1,21412816,318824.8825,194254,35.84999999999991
19-Jan-2021,1511.65,1467.0,1503.85,8680127,129344.4713,107454,44.65000000000009
20-Jan-2021,1501.0,1486.0,1492.0,6673026,99678.40647,59507,15.0
21-Jan-2021,1494.35,1468.15,1474.8,13166527,194761.3889,89132,26.199999999999818
22-Jan-2021,1467.9,1440.15,1443.55,7696182,111933.63699999999,90596,27.75
25-Jan-2021,1481.0,1455.15,1462.85,10172359,149118.0574,124272,25.84999999999991
27-Jan-2021,1471.9,1406.15,1409.6,11778138,169254.4542,112616,65.75
28-Jan-2021,1401.3,1342.0,1371.45,21352223,291278.8635,127854,59.299999999999955
29-Jan-2021,1408.75,1364.5,1390.5,14352251,199238.917,81060,44.25
01-Feb-2021,1482.5,1401.0,1476.75,13185272,189792.3149,89371,81.5
02-Feb-2021,1578.5,1497.4,1560.55,21210103,330138.0164,128814,81.09999999999991
03-Feb-2021,1581.7,1542.0,1574.8,10118627,158454.9869,61311,39.700000000000045
04-Feb-2021,1588.0,1543.45,1579.1,12242342,191997.1305,60188,44.549999999999955
05-Feb-2021,1618.25,1548.0,1597.6,13527358,215822.2844,82760,70.25
08-Feb-2021,1631.65,1595.7,1605.25,8723790,140850.7607,61162,35.950000000000045
09-Feb-2021,1628.0,1586.7,1611.85,9210683,148410.6226,49696,41.299999999999955
10-Feb-2021,1614.85,1567.0,1581.75,9894003,157596.8772,53254,47.84999999999991
11-Feb-2021,1597.8,1564.2,1572.35,6824309,107672.9592,40302,33.59999999999991
12-Feb-2021,1592.5,1573.0,1581.95,4955053,78505.72958,45888,19.5
15-Feb-2021,1625.0,1596.7,1616.6,5177622,83267.76744,54242,28.299999999999955
16-Feb-2021,1641.0,1608.45,1626.65,6948679,112935.44900000001,77736,32.549999999999955
17-Feb-2021,1621.8,1583.0,1586.5,6397213,102496.5889,52477,38.799999999999955
18-Feb-2021,1605.95,1548.0,1554.3,7360280,115622.6154,78102,57.950000000000045
19-Feb-2021,1564.2,1533.0,1539.1,8569754,132653.5523,78655,31.200000000000045
22-Feb-2021,1573.9,1539.45,1548.0,14725919,229347.2812,108365,34.450000000000045
23-Feb-2021,1557.7,1522.65,1529.15,9119953,140189.5577,100779,35.049999999999955
24-Feb-2021,1613.95,1516.25,1606.45,7157166,111791.0453,85858,97.70000000000005
25-Feb-2021,1636.25,1602.0,1606.4,10054785,162954.6477,101363,34.25
26-Feb-2021,1588.9,1521.0,1534.4,13956423,215467.1849,86867,67.90000000000009
01-Mar-2021,1572.55,1540.7,1558.9,6768009,105542.2535,42740,31.84999999999991
02-Mar-2021,1587.5,1551.0,1568.2,8055019,126452.6247,45917,36.5
03-Mar-2021,1596.0,1565.0,1586.85,5611205,88643.14508999999,47106,31.0
04-Mar-2021,1571.0,1539.1,1552.05,8145719,126449.5616,61061,31.90000000000009
05-Mar-2021,1545.6,1521.1,1530.0,8722911,133706.2458,56598,24.5
08-Mar-2021,1555.0,1512.5,1519.5,7558525,115674.3706,54426,42.5
09-Mar-2021,1565.7,1538.25,1562.5,7533348,117258.1055,63489,27.450000000000045
10-Mar-2021,1575.0,1552.15,1555.75,5527508,86219.72797,39852,22.84999999999991
12-Mar-2021,1600.0,1535.05,1551.95,7815602,122702.5375,72307,64.95000000000005
15-Mar-2021,1548.4,1515.3,1528.65,6115242,93260.41069,62945,33.100000000000136
16-Mar-2021,1540.4,1510.0,1512.15,6861183,104499.094,64547,30.40000000000009
17-Mar-2021,1539.0,1490.2,1495.35,10532214,159470.4211,82899,48.799999999999955
18-Mar-2021,1522.05,1481.15,1491.0,9032770,135940.9752,74742,40.899999999999864
19-Mar-2021,1511.2,1474.05,1497.5,10617510,157890.4466,87797,37.15000000000009
22-Mar-2021,1494.9,1460.4,1469.15,7007816,103244.1918,89976,34.5
23-Mar-2021,1507.45,1469.1,1500.15,9880714,146933.4949,105604,38.350000000000136
24-Mar-2021,1506.45,1471.0,1478.8,8184450,121874.1908,83266,35.450000000000045
25-Mar-2021,1495.55,1450.25,1463.35,11982178,175961.9811,94038,45.299999999999955
